id,customer_message,intent,expected_action,reference_resolution,difficulty,notes
G029,"can you tell me which stores in Leeds will have the Kellogg’s advent calendar in stock?",stock_availability,AUTO_HANDLE,"Check and provide availability of the Kellogg’s advent calendar at relevant Leeds stores.",easy,"Store stock lookup; source_conversation_id=Tesco_1980362"
G030,"Just bought cookie Dough ice cream from your Glenrothes branch, UB in JUNE 2017! Why’s this on sale 5 months later?",product_quality,ESCALATE,"Apologize for the out-of-date product and escalate the store's date-control issue.",easy,"Expired product; source_conversation_id=Tesco_2018192"
G031,"I placed an order for this item on 17/11 for delivery on or before 23/11 and it immediately went out of stock. It has been back in stock now for several days and still hasn't been dispatched. When will you fulfil my order?",delivery_issue,ESCALATE,"Check the order and stock status and provide a fulfilment update or appropriate resolution.",medium,"Specific order awaiting fulfilment after stock returned; source_conversation_id=Tesco_155339"
G032,"A most dispiriting shopping experience New Malden today. Scan as you shop scanner wall failed to read Clubcard. Cannot type in number manually as touch screen is unresponsive. Hand held scanner froze half way through shop. Assistants were clueless and unapologetic",technical_problem,ESCALATE,"Acknowledge the equipment failures and escalate the Scan as You Shop and touchscreen problems to the store.",easy,"Primary issues are multiple store-device failures; source_conversation_id=Tesco_504351"
G033,"Really? Why?",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Request the missing context or previous message before providing an accurate explanation.",hard,"Context-dependent reply with no identifiable issue; source_conversation_id=Tesco_1047345"
G034,"hi is there anyway someone can find out why my shopping didn't arrive tonight please?",delivery_issue,ESCALATE,"Check the delivery status and explain why the shopping did not arrive, then provide an appropriate resolution.",easy,"Missing delivery; source_conversation_id=Tesco_1299599"
G035,"Not long till #christmas #xmas lol 😂 mince pies,stollen, alcohol, lots of food, family time, tv, the music, the tree, presents love it! 🎅🏻🎁😉",OVERSIZED_MIXED_CLUSTER__5,AUTO_HANDLE,"Acknowledge the positive seasonal message without inventing a support issue.",easy,"General social/chit-chat message; source_conversation_id=Tesco_2346676"
G036,"Hi, this machine has yet to be fixed, last message said to tell you if it wasn’t working within 7-10 days, that was 4 weeks ago. Sent a DM this morning but not heard back",technical_problem,ESCALATE,"Acknowledge the unresolved machine fault and arrange follow-up with the responsible team.",medium,"Specific equipment issue with prolonged unresolved status; source_conversation_id=Tesco_1787569"
G037,"Worst Tesco experience today. No stock of all the essentials, long lines, not enough tills open.",customer_service_complaint,ESCALATE,"Acknowledge the poor store experience and escalate the stock, queue, and staffing concerns.",easy,"Multiple store-service problems; source_conversation_id=Tesco_1706296"
G038,"I FOUND A HAIR IN MY MEAL!!!! AND ITS BLONDE SO ITS DEFO NOT MINE! 🌚😠",product_quality,ESCALATE,"Acknowledge the foreign-object complaint, advise not consuming the affected food, and escalate for investigation.",easy,"Food contamination; source_conversation_id=Tesco_2122380"
G039,"Im actually disgusted by Tesco’s quality lately. Absolutely disgusting! 😷🤢🤢#badquality #notnice #Tesco",product_quality,ESCALATE,"Acknowledge the product-quality complaint and ask for details of the affected product if needed.",medium,"General quality complaint without product details; source_conversation_id=Tesco_2562702"
G040,"Gluten Free offer on website show quorn mini sausage rolls (wheat flour etc)",uncategorized__free,ESCALATE,"Acknowledge the gluten-free listing concern and escalate the potentially incorrect product information for correction.",easy,"Free-from product labeling/listing issue; source_conversation_id=Tesco_1308534"
G041,"I have just had the unfortunate experience at one of your Liverpool store. Only limiting us to 6 dream pie topping. Absolutely ridiculous. I’m not a satisfied customer. I’m hoping to get an explanation ASAP. A very disgruntled customer.",stock_availability,AUTO_HANDLE,"Explain the applicable purchase limit for the product and why the limit is in place.",medium,"Product quantity restriction; source_conversation_id=Tesco_1357446"
G042,"Thank you Daffyd",OVERSIZED_MIXED_CLUSTER__5,AUTO_HANDLE,"Acknowledge the customer's thanks.",hard,"No substantive support intent; source_conversation_id=Tesco_2956362"
G043,"I've sent you a DM. Thankyou for getting back to me about this.",uncategorized__dm,AUTO_HANDLE,"Acknowledge receipt of the customer's DM and continue the conversation through the appropriate channel.",easy,"Explicit DM reference; source_conversation_id=Tesco_851346"
G044,"Delighted with my experience of; being refused paying for my fuel at your forecourt with Apple Pay because you’re stuck in a time warp & £30 limit (which was only ever ‘contactless’, NOT Apple Pay). I then paid you by card, then you referring me to a debt agency! Brilliant",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Acknowledge the payment and debt-agency complaint and escalate for investigation of the transaction and account handling.",hard,"Payment/debt issue has no dedicated taxonomy intent; source_conversation_id=Tesco_620460"
G045,"Hi, your grocery website keeps going down/error message. I've lost my delivery slot 3 X now. What's up?",technical_problem,ESCALATE,"Investigate the recurring grocery website failure and the resulting lost delivery slots.",easy,"Website outage causing delivery-slot loss; source_conversation_id=Tesco_1963794"
G046,"Any idea why part of my Click&Collect order would be showing as Collected when I haven’t even been in to pick it up as of yet?",delivery_issue,ESCALATE,"Investigate the Click & Collect order status and correct the order if it has been incorrectly marked as collected.",medium,"Order-specific collection status issue; source_conversation_id=Tesco_2946157"
G047,"My clubcard and online tesco account don't match up! Can you help?",uncategorized__tesco,ESCALATE,"Investigate the mismatch between the customer's Clubcard and online account and provide account-specific support.",easy,"Account issue has no dedicated taxonomy label; source_conversation_id=Tesco_660639"
G048,"Hi I'm doing a research about Tesco company and I'd like to know how the organization review and monitors it's customer service",customer_service_complaint,AUTO_HANDLE,"Provide general information about how Tesco reviews and monitors customer service.",easy,"General customer-service information request; source_conversation_id=Tesco_541724"
G049,"I don’t think I’ll be buying my veg (fresh or prepackaged) from yourselves or any supermarket again, after discovering this little ugly critter on the carrots 😷 I’ll be sticking to tinned from now on !! #Tesco",product_quality,ESCALATE,"Acknowledge the foreign-object complaint, advise not consuming the affected product, and escalate for investigation.",easy,"Foreign object/possible pest in food; source_conversation_id=Tesco_2205670"
G050,"if an album comes out Nov 10th do you have it on shelf at midnight that date, i.e not just stocked in the AM? Asking for a friend.",stock_availability,AUTO_HANDLE,"Explain whether the album will be available for purchase at midnight on its release date.",easy,"Product availability/timing query; source_conversation_id=Tesco_1483077"
G051,"just bought a pack of your jam doughnuts, what do you think the black bits are in this? There was 2 in the pack like this",product_quality,ESCALATE,"Acknowledge the suspected foreign material, advise not consuming the affected product, and escalate for investigation.",easy,"Possible foreign material in food; source_conversation_id=Tesco_1834588"
G052,"I know its an online service but it said it was available at your south road store Dundee and according to a member of staff we were not the only people to travel some distance to try and buy it from that store",stock_availability,ESCALATE,"Acknowledge the inaccurate availability information and investigate the store stock discrepancy.",medium,"Online stock information did not match store reality; source_conversation_id=Tesco_2774753"
G053,"I know I'm disgusted, I guess there will be no smarties tubes in the stockings this year 😔",stock_availability,AUTO_HANDLE,"Explain whether Smarties tubes are currently available and, if possible, provide availability information.",medium,"Likely product availability complaint; source_conversation_id=Tesco_118979"
G054,"very disappointed with these, contain about 1 cube of chicken. I know things never look the the picture but this is taking the mickey",product_quality,AUTO_HANDLE,"Acknowledge the concern about the amount of chicken and provide the appropriate product feedback route.",easy,"Product contents/quality complaint; source_conversation_id=Tesco_1514506"
G055,"Not sure if it’s a production problem or what, literally bought today and never had this problem before",product_quality,ESCALATE,"Ask for the product details and acknowledge the possible production-quality issue for investigation.",hard,"Underlying product problem is omitted from the message; source_conversation_id=Tesco_1938671"
G056,"Hi Nick, thanks for your response. Sure thing - it's 0323 8141. :)",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Handle the supplied reference or details in the existing support conversation and avoid assuming the underlying issue.",hard,"Context-dependent response containing a number; source_conversation_id=Tesco_1288316"
G057,"when ordering online groceries could the option at the end to add to Foodbank be added? Just a thought",technical_problem,AUTO_HANDLE,"Acknowledge the feature suggestion and route it as feedback for the online grocery service.",easy,"Online grocery feature request; source_conversation_id=Tesco_2142861"
G058,"In store",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Request the missing context before deciding what support is required.",hard,"Insufficient context; source_conversation_id=Tesco_1675640"
G059,"if your online grocery delivery service is incapable of displaying my correct address and my delivery driver complains that the details provided send them to the wrong address is that a subtle hint that you no longer want my custom? 🤔",delivery_issue,ESCALATE,"Investigate the incorrect delivery address information and resolve the driver routing problem.",medium,"Delivery/address issue; source_conversation_id=Tesco_2751327"
G060,"Very poor service received from home delivery! First time used and definitely the last time!! Would not recommend these to anyone! 😡",delivery_issue,ESCALATE,"Acknowledge the poor home-delivery experience and investigate the service issue.",easy,"General home-delivery complaint; source_conversation_id=Tesco_1635274"
G061,"After being on the phone to Barclays for 20 mins just discovered that it has been sent to the old card! Spoke to a manager in store and customer service on the phone twice last week who both assured me after 6 days of waiting the refund would be sent to new card 😐",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Investigate the refund destination and transaction status and provide an appropriate resolution.",medium,"Refund/payment issue with no dedicated taxonomy intent; source_conversation_id=Tesco_2733088"
G062,"Tesco have been marvellous.Thank you x",OVERSIZED_MIXED_CLUSTER__5,AUTO_HANDLE,"Acknowledge the positive feedback and thank the customer.",easy,"General praise without a substantive intent; source_conversation_id=Tesco_1659570"
G063,"why you gotta ruin the Christmas meal deals by putting cranberry on everything. Why do you me so?",uncategorized__meal,AUTO_HANDLE,"Acknowledge the feedback about the Christmas Meal Deal product selection.",easy,"Meal Deal product feedback; source_conversation_id=Tesco_688192"
G064,"To be honest, even contacting Pom Bears is risky. There's no guarantee that if they are currently wheat free they would stay this way. And there would be no way of me knowing if this changed.",uncategorized__free,AUTO_HANDLE,"Explain how customers can verify current free-from product ingredients and labeling.",medium,"Wheat-free product information concern; source_conversation_id=Tesco_278491"
G065,"Also - do you still do RainCheck Vouchers - for a product that is on promo but not in stock? Thanks",stock_availability,AUTO_HANDLE,"Explain whether RainCheck vouchers are currently offered when promotional products are unavailable.",easy,"Promotion/availability policy question; source_conversation_id=Tesco_787075"
G066,"What the hell ? Your fruit and vegetables today are dreadful!!",product_quality,ESCALATE,"Acknowledge the poor produce-quality complaint and ask for relevant product/store details if investigation is required.",easy,"Fresh produce quality complaint; source_conversation_id=Tesco_1830802"
G067,"Hi Andy, Mogden Ln, Isleworth, TW7 7JY - Nagwa Ahdan (Community Champion). A wonderful lady and an asset to Tesco. 👍",customer_service_complaint,AUTO_HANDLE,"Thank the customer for the positive feedback and pass the recognition to the relevant store team.",easy,"Positive staff/customer-service feedback; source_conversation_id=Tesco_939062"
G068,"but even the item that i could click and collect would have had the same postage costs.. you really need to look into that because if you can deliver to the store round the corner for free then to charge almost a tenner for home delivery is disgusting",delivery_issue,ESCALATE,"Explain the applicable delivery and Click & Collect charges and investigate any pricing discrepancy.",medium,"Delivery-cost complaint; source_conversation_id=Tesco_2884493"
G069,"So finally we get an offer of a full refund... but we’re still here in the middle of nowhere with no food! This is ridiculous!",delivery_issue,ESCALATE,"Acknowledge the unresolved delivery situation and investigate the missing food order while explaining the available resolution.",easy,"Delivery failure with customer left without groceries; source_conversation_id=Tesco_1558183"
G070,"Was rather disappointed to only find 3 chicken pieces when there should be 4.",product_quality,AUTO_HANDLE,"Acknowledge the incorrect quantity complaint and provide the appropriate product complaint or refund process.",easy,"Product contents issue; source_conversation_id=Tesco_2112717"
G071,"bought a salt & pepper baguette yesterday- should come with a health warning as salt levels off the scale, almost poison for a child",product_quality,ESCALATE,"Acknowledge the food-quality concern and escalate the reported excessive salt issue for product investigation.",medium,"Potential food safety/quality concern; source_conversation_id=Tesco_1018146"
G072,"hubby just attempted2eat a chicken breast purchased today..he can't even cut it as its all stringy&tough 😷😷 not had a problem before",product_quality,AUTO_HANDLE,"Acknowledge the quality complaint and provide the appropriate product feedback or refund process.",easy,"Food texture/quality issue; source_conversation_id=Tesco_2000947"
G073,"Rotton in wasp in colleagues sarnie... fucking rank Hindley !! Free food for life !!",product_quality,ESCALATE,"Acknowledge the foreign-object complaint, advise not consuming the food, and escalate for investigation.",easy,"Possible insect contamination in food; source_conversation_id=Tesco_2543286"
G074,"Yes, Megan. I've been bagel-less for weeks now 🙄 What's going on?",stock_availability,AUTO_HANDLE,"Check and explain the availability of the requested bagels at the relevant store or stores.",easy,"Product availability complaint; source_conversation_id=Tesco_927703"
G075,"This was embedded in said tuna absolutely disgusted !!!",product_quality,ESCALATE,"Acknowledge the suspected foreign material in the tuna and escalate for product-quality investigation.",medium,"Context indicates foreign material but exact object is omitted; source_conversation_id=Tesco_1945997"
G076,"I was very disappointed to see the gluten free Pizza Express pizzas are not included in the half price offer! Any comment to make?",uncategorized__free,AUTO_HANDLE,"Explain the eligibility rules for the half-price promotion and whether gluten-free Pizza Express pizzas are included.",easy,"Free-from product and promotion query; source_conversation_id=Tesco_875372"
G077,"Why do you not stock TV 4K on your Click & Collect website? You stock other Apple products just not TV whyyy? 🤦🏼‍♂️😮",stock_availability,AUTO_HANDLE,"Explain whether Apple TV 4K is available through Click & Collect and any applicable availability limitations.",easy,"Product availability query; source_conversation_id=Tesco_648730"
G078,"Hi Peter, I asked at the till for anything to carry my 12 bottles purchased and was repeatedly informed that the wine carriers were withdrawn and there was nothing else available. Something in your enquiry at the store is not standing up to scrutiny. #still not happy",customer_service_complaint,ESCALATE,"Acknowledge the store-service complaint and escalate the concern about carrier availability and staff handling.",medium,"Store service and product-carrying provision; source_conversation_id=Tesco_2133522"
G079,"It was at 5.30/5.45pm. Their staff member called Mel clearly needs the term 'customer service' explaining! Maybe a little training req'd!",customer_service_complaint,ESCALATE,"Acknowledge the complaint about staff conduct and forward the feedback to store management.",easy,"Staff conduct/training complaint; source_conversation_id=Tesco_1725920"
G080,"hope everyone’s OK at Colney Hatch Ln Tesco - heard security guard had been hurt? Our local, & lots of friendly, helpful staff.",customer_service_complaint,AUTO_HANDLE,"Acknowledge the concern and positive feedback without speculating about the reported incident.",medium,"Mixed concern and positive staff feedback; source_conversation_id=Tesco_969982"
G081,"the new recipe Peppercorn Sauce is terrible, nowhere near enough flavour or as creamy as the old one, ruined my steak ☹️",product_quality,AUTO_HANDLE,"Acknowledge the product feedback about the new recipe and record it for the relevant product team.",easy,"Product formulation/quality complaint; source_conversation_id=Tesco_58919"
G082,"In the intrest of being constructive. Surely when you cancel an order at 9.20am with 40minutes notice you should offer alternative timings later on the day?",delivery_issue,ESCALATE,"Acknowledge the cancelled-order complaint and explain the available alternative delivery options.",medium,"Order cancellation affecting delivery timing; source_conversation_id=Tesco_1309020"
G083,"Yeh why are not labelling #HALAL meat properly we want a label confirming the animal is humanely dealt with not its throat slashed",uncategorized__tesco,ESCALATE,"Acknowledge the labeling concern and escalate it to the appropriate product or compliance team.",medium,"Specific product-labeling concern has no dedicated taxonomy intent; source_conversation_id=Tesco_973709"
G084,"I just paid £5 for 200 g of smoked salmon... where is the rest of it?!?! Not happy Tesco! Saw it on offer and treated myself, now feeling very ripped off. Tesco please advise!!",product_quality,AUTO_HANDLE,"Acknowledge the underweight product complaint and provide the appropriate product complaint or refund process.",easy,"Product quantity/weight complaint; source_conversation_id=Tesco_2871187"
G085,"Your price in this occasion to click and collect was more expensive than the same product advertised as in stock in a tesco express store so I expect you to honour that price.",stock_availability,ESCALATE,"Investigate the price and availability discrepancy between Click & Collect and the Express store and explain the applicable pricing policy.",medium,"Cross-channel price discrepancy tied to store availability; source_conversation_id=Tesco_79569"
G086,"payed for delivery between 7 and 8 for a reason! it’s still not here! I need to go out, what’s going on?!",delivery_issue,ESCALATE,"Check the delivery status and provide an updated ETA or appropriate resolution for the missed delivery window.",easy,"Missed paid delivery window; source_conversation_id=Tesco_1330920"
G087,"More supermarkets should adopt free fruit for kids idea. My 11 month old gets so excited when he sees where we are cause he loves a banana during our shop 👌",uncategorized__tesco,AUTO_HANDLE,"Thank the customer for the positive feedback about the free-fruit initiative.",easy,"General positive Tesco/store feedback; source_conversation_id=Tesco_2535565"
G088,"what are these investigators investigating? No one has looked at our drains? This is ridiculous!",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Acknowledge the unresolved investigation concern and route it to the responsible team for follow-up.",hard,"Underlying investigation context is incomplete; source_conversation_id=Tesco_836447"
G089,"I wouldn’t call twice the price varying slightly! I find that reply disappointing. I’ve found it at the cheaper price at one of your competitors where online and shop prices don’t differ, so will get it refunded.",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Acknowledge the pricing complaint and investigate the disputed price before advising on any refund.",medium,"Price dispute with no dedicated pricing taxonomy intent; source_conversation_id=Tesco_2893963"
G090,"Sterotying that I was gonna go out and crack the bottle open with her, it’s a Christmas present for god sake. Terrible service 👍🏼",customer_service_complaint,ESCALATE,"Acknowledge the complaint about the service interaction and escalate the staff/service concern.",hard,"Wording is unclear but clearly describes dissatisfaction with service; source_conversation_id=Tesco_1101299"
G091,"Many thanks for the quick reply info DM’d",uncategorized__dm,AUTO_HANDLE,"Acknowledge the customer's thanks and confirm the DM interaction.",easy,"Explicit DM reference; source_conversation_id=Tesco_584180"
G092,"This is ""my experience"" - I'll not video my other experience which was a £40 basket of shopping with no other means to pay on me 😩",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Acknowledge the payment-related incident and escalate for investigation of the customer's transaction experience.",hard,"Payment issue has no dedicated taxonomy intent and context is incomplete; source_conversation_id=Tesco_2166696"
G093,"Hey U ok Hun? paid £3 for a meal deal and ended up with this I demand a public apology otherwise I will be forced to ring the police",uncategorized__meal,ESCALATE,"Acknowledge the Meal Deal complaint and escalate the serious customer complaint for human review.",medium,"Meal Deal complaint combined with threat of police escalation; source_conversation_id=Tesco_1741575"
G094,"Thanks so much for trying !",OVERSIZED_MIXED_CLUSTER__5,AUTO_HANDLE,"Acknowledge the customer's thanks.",hard,"No substantive intent in isolated message; source_conversation_id=Tesco_730142"
G095,"Sent via dm",uncategorized__dm,AUTO_HANDLE,"Acknowledge receipt of the customer's DM.",easy,"Explicit DM reference; source_conversation_id=Tesco_185389"
G096,"Thought as much lol but why would you put 'or less'?",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Request or retrieve the preceding context before explaining the wording.",hard,"Context-dependent question; source_conversation_id=Tesco_2938764"
G097,"Hi, I've sent a private message, would somebody be able to answer it please 😊 thanks",uncategorized__dm,AUTO_HANDLE,"Acknowledge the private message and direct the customer to the appropriate DM support process.",easy,"Explicit private-message reference; source_conversation_id=Tesco_2509723"
G098,"Thank you",OVERSIZED_MIXED_CLUSTER__5,AUTO_HANDLE,"Acknowledge the customer's thanks.",hard,"No substantive support intent; source_conversation_id=Tesco_125421"
G099,"totally unacceptable delivery service today! You left my sons Christmas presents outside my front door for them to see when we got home. I’m surprised they weren’t stolen as they must have been there for a few hours 🤬 #tescochristmas #badservice",delivery_issue,ESCALATE,"Acknowledge the unsafe delivery handling and investigate why the order was left unattended.",easy,"Delivery handling/security complaint; source_conversation_id=Tesco_654749"
G100,"we just cut open a brown roll to find a mystery blue material inside it! 🤔",product_quality,ESCALATE,"Acknowledge the foreign-material complaint, advise not consuming the product, and escalate for investigation.",easy,"Foreign material in food; source_conversation_id=Tesco_1961506"
G101,"Yes, Mannings Heath",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Use the previous conversation context to determine what the customer is confirming.",hard,"Isolated location-only response; source_conversation_id=Tesco_116663"
G102,"Lol hi Jayne. I've DM your account. A refund is not enough.",uncategorized__dm,ESCALATE,"Acknowledge the DM and dissatisfaction with the proposed refund, then route the complaint for human review.",medium,"DM plus unresolved complaint; source_conversation_id=Tesco_720852"
G103,"Some will never know the pressure of trying to get a Christmas delivery food shop slot.... #tesco #christmasprep #58tinsofchappiesecuresourslot #settinganalarmforpriorityfoodshopaccess. I got the 23rd!! It’s a Christmas miracle! Husband slept through it all",delivery_issue,AUTO_HANDLE,"Acknowledge the customer's successful Christmas delivery-slot booking.",easy,"Positive delivery-slot discussion; source_conversation_id=Tesco_2200936"
G104,"But that I'm being refunded the switch but the games are being sent anyway?!? Can you not just replace the neon switch with the grey one??",OVERSIZED_MIXED_CLUSTER__5,ESCALATE,"Investigate the order and refund status and determine whether the requested replacement can be provided.",medium,"Specific order/refund issue with no dedicated taxonomy intent; source_conversation_id=Tesco_2230827"
G105,"Now I go online and it's out of stock",stock_availability,AUTO_HANDLE,"Explain the current online availability and, where possible, suggest alternative stock information.",easy,"Direct stock availability statement; source_conversation_id=Tesco_1847067"
G106,"Thank you.",OVERSIZED_MIXED_CLUSTER__5,AUTO_HANDLE,"Acknowledge the customer's thanks.",hard,"No substantive support intent; source_conversation_id=Tesco_2216948"
